cliente_id,edad,antiguedad_años,salario_mensual_cop,num_productos,saldo_promedio_cop,num_transacciones_mes,dias_desde_ultimo_contacto,nps_score,canal_preferido,segmento_cliente,region,tiene_credito,tiene_cuenta_ahorro,meses_sin_uso_app,quejas_ultimo_año,churn
CLI00033,24,16,7183797,6,17525908,37,240,8,Presencial,Pyme,Andina,0,1,7,3,0
CLI00034,58,4,3181641,4,35937394,54,228,2,Presencial,Masivo,Pacífica,1,0,10,1,1
CLI00035,28,5,2016409,6,49898558,53,341,0,App Móvil,Masivo,Andina,0,1,3,1,1
CLI00036,42,11,2166165,1,44019815,28,198,0,Telefónico,Preferente,Caribe,0,1,5,2,1
CLI00037,30,9,4288363,3,48662354,17,65,2,Digital,Masivo,Caribe,0,1,5,3,0
CLI00038,60,5,5976321,4,15214586,28,11,4,Digital,Masivo,Andina,1,1,4,0,0
CLI00039,39,7,5210388,2,8970512,41,108,2,App Móvil,Masivo,Andina,1,1,11,2,1
CLI00040,25,1,4735192,3,28454034,2,26,8,Presencial,Preferente,Pacífica,1,0,11,2,0
CLI00041,46,11,11629295,5,20658359,25,151,8,Telefónico,Masivo,Pacífica,1,0,0,1,0
CLI00042,35,12,3435090,1,21688293,58,221,2,Presencial,Masivo,Andina,1,0,10,4,1
CLI00043,30,6,10633790,3,18722753,50,341,2,Digital,Premium,Pacífica,1,0,6,0,1
CLI00044,47,9,5437270,3,43984421,41,237,4,Telefónico,Premium,Caribe,1,0,9,3,1
CLI00045,23,12,8239013,5,41495670,6,237,1,Digital,Preferente,Caribe,0,1,7,2,1
CLI00046,41,16,8589975,4,25243940,11,219,5,Presencial,Masivo,Orinoquía,0,1,0,0,0
CLI00047,49,13,10305586,2,42327410,57,151,6,Presencial,Preferente,Caribe,1,1,9,1,0
CLI00048,28,1,2533316,5,27188467,38,123,8,Presencial,Masivo,Caribe,1,1,6,2,0
CLI00049,29,10,6319075,2,20151875,6,144,5,Telefónico,Masivo,Pacífica,1,0,3,2,0
CLI00050,56,0,11659093,4,28618453,45,189,2,App Móvil,Preferente,Andina,1,1,5,1,0
CLI00051,35,18,6242297,3,28694704,11,255,4,Telefónico,Masivo,Orinoquía,0,1,8,1,0
CLI00052,38,3,5368452,2,1572138,14,68,3,Digital,Masivo,Caribe,1,1,4,1,0
CLI00053,57,18,9574037,1,43960377,2,104,4,Digital,Masivo,Caribe,1,1,7,0,0
CLI00054,61,10,2812743,1,10712332,40,336,7,Presencial,Masivo,Andina,1,1,4,0,0
CLI00055,25,7,8920105,5,44171571,3,159,7,App Móvil,Masivo,Andina,1,1,1,0,0
CLI00056,23,10,11815813,4,26795577,55,309,5,App Móvil,Pyme,Andina,1,1,3,4,0
CLI00057,27,3,1604195,5,13405288,53,362,0,App Móvil,Masivo,Andina,1,1,1,2,0
CLI00058,63,16,8508443,5,13468899,35,300,7,Digital,Masivo,Orinoquía,0,1,6,0,0
CLI00059,25,6,6776728,6,24626669,33,90,7,Presencial,Masivo,Orinoquía,0,1,6,4,0
CLI00060,50,7,5601036,5,7001837,24,357,1,Presencial,Pyme,Caribe,1,1,2,2,0
CLI00061,39,2,11227094,6,3497831,19,256,3,Digital,Preferente,Andina,1,1,6,0,0
CLI00062,47,1,3665251,1,2848439,18,353,1,Digital,Masivo,Andina,0,1,0,1,0
CLI00063,55,14,11366460,1,22755322,49,220,3,App Móvil,Premium,Orinoquía,1,1,0,3,0
CLI00064,31,4,8803693,5,24843035,52,9,9,Digital,Masivo,Amazonía,1,0,8,0,0
CLI00065,57,0,4714850,1,47453056,24,12,6,Digital,Masivo,Caribe,1,1,5,3,1
CLI00066,35,3,11608631,4,46663593,45,325,8,Digital,Masivo,Pacífica,0,0,11,0,0
CLI00067,52,14,9483439,6,31443759,35,244,7,App Móvil,Masivo,Andina,1,1,4,1,0
CLI00068,36,19,10374883,6,27688743,1,182,8,Presencial,Masivo,Caribe,1,1,5,3,0
CLI00069,29,18,10187479,5,41888352,36,284,7,Telefónico,Preferente,Caribe,1,1,5,4,0
CLI00070,35,2,9768541,1,2021835,25,312,1,App Móvil,Masivo,Andina,1,1,0,1,0
CLI00071,44,19,11046263,2,6427095,45,99,6,Digital,Preferente,Andina,0,0,4,3,1
CLI00072,61,10,4449281,6,29014915,49,197,1,Telefónico,Masivo,Caribe,1,1,8,3,0
CLI00073,42,16,8856061,5,47206309,43,226,1,Digital,Masivo,Pacífica,0,0,3,1,0
CLI00074,37,12,2794929,5,37086106,34,333,3,Digital,Masivo,Caribe,0,1,2,1,0
CLI00075,39,10,4004594,4,24113518,25,103,0,App Móvil,Pyme,Andina,1,1,0,1,0
CLI00076,45,1,2743294,3,28093327,16,106,4,Telefónico,Masivo,Andina,1,1,1,2,0
CLI00077,47,8,5067675,3,30097591,34,58,5,Presencial,Preferente,Caribe,1,1,2,4,0
CLI00078,46,1,9211634,6,6282827,29,78,8,Presencial,Masivo,Andina,0,0,3,0,0
CLI00079,62,8,10785424,4,31460638,19,75,9,Presencial,Masivo,Caribe,1,1,6,3,0
CLI00080,50,8,3914802,4,42293719,23,42,7,Digital,Masivo,Andina,1,0,5,0,0
CLI00081,36,7,1943031,4,48442092,19,324,1,Digital,Masivo,Caribe,1,0,10,1,1
CLI00082,22,16,10979276,6,39576088,25,181,0,Digital,Masivo,Andina,1,0,7,4,1
CLI00083,46,0,7944345,3,29990398,16,33,1,Digital,Masivo,Caribe,1,1,8,4,1
CLI00084,28,10,4290373,4,6519585,54,71,6,App Móvil,Premium,Pacífica,1,1,5,2,0
CLI00085,30,7,5416643,1,8132162,51,56,3,Digital,Masivo,Pacífica,0,0,6,1,1
CLI00086,45,9,8561183,5,21588887,9,105,9,Digital,Preferente,Caribe,0,0,3,3,0
CLI00087,22,6,4787058,5,9492989,1,200,4,Presencial,Masivo,Andina,0,1,1,2,0
CLI00088,29,2,11674124,2,24325097,42,101,6,App Móvil,Preferente,Caribe,1,1,8,1,0
CLI00089,45,2,7010493,2,5055769,19,256,2,Digital,Preferente,Andina,1,1,8,2,1
CLI00090,32,17,1790998,6,29598611,33,307,9,Digital,Masivo,Caribe,1,1,3,0,0
CLI00091,38,4,6355920,6,16613311,34,74,1,Presencial,Masivo,Andina,0,1,11,1,0
CLI00092,29,11,3328022,5,31849831,16,171,6,Telefónico,Preferente,Andina,0,1,2,3,0
CLI00093,56,11,7867712,1,22838482,44,143,4,Presencial,Premium,Orinoquía,0,1,9,3,1
CLI00094,56,18,2909854,3,21079044,40,166,0,App Móvil,Masivo,Andina,0,1,10,1,1
CLI00095,54,5,9497043,3,23286978,55,261,0,App Móvil,Masivo,Andina,1,1,5,2,1
CLI00096,26,1,1681360,6,30271417,18,221,8,Telefónico,Premium,Andina,1,1,2,4,0
CLI00097,63,11,3944026,1,17321242,34,83,4,Telefónico,Masivo,Orinoquía,1,1,0,1,0
CLI00098,60,18,4015419,6,37497295,25,182,0,Presencial,Preferente,Pacífica,1,1,3,3,1
CLI00099,62,4,7032410,3,12696688,45,307,6,Digital,Masivo,Caribe,1,1,0,0,0
CLI00100,49,11,5638286,6,29540622,6,10,8,App Móvil,Masivo,Pacífica,1,1,1,3,0
CLI00101,28,16,11179818,4,39797922,21,4,0,Presencial,Preferente,Andina,0,0,2,4,0
CLI00102,30,16,9833100,6,40038859,58,351,9,Digital,Preferente,Pacífica,1,0,7,3,0
CLI00103,29,9,8393728,5,23998568,6,336,3,Telefónico,Masivo,Pacífica,1,1,9,4,1
CLI00104,33,16,5084197,6,31239860,32,292,2,Digital,Preferente,Caribe,1,1,3,1,0
CLI00105,55,14,1811955,5,21249305,41,281,4,Presencial,Premium,Pacífica,0,1,3,3,0
CLI00106,54,11,3627599,1,41175390,48,215,6,Presencial,Preferente,Caribe,0,1,9,2,0
CLI00107,44,15,6433594,3,21207891,43,98,7,Presencial,Masivo,Caribe,0,1,8,2,0
CLI00108,45,18,11453678,2,32059531,39,101,1,App Móvil,Preferente,Caribe,1,0,6,3,1
CLI00109,58,7,6335451,2,12563926,31,9,6,Digital,Preferente,Pacífica,1,1,1,3,0
CLI00110,56,16,5882794,3,5918806,42,61,0,Presencial,Premium,Caribe,1,1,2,0,0
CLI00111,61,4,8823494,2,8513199,10,309,6,Presencial,Preferente,Caribe,1,0,3,3,1
CLI00112,43,15,8199144,6,15272118,30,146,7,Telefónico,Masivo,Pacífica,0,0,3,0,0
CLI00113,48,5,6198713,1,25804928,57,63,1,Telefónico,Preferente,Caribe,1,0,9,0,1
CLI00114,56,7,9367791,1,10986741,52,121,8,Presencial,Preferente,Caribe,1,1,7,0,0
CLI00115,22,17,5290328,3,13356632,18,226,0,Telefónico,Masivo,Caribe,1,1,9,0,0
CLI00116,56,11,6789730,2,47081025,24,105,5,Digital,Masivo,Andina,1,1,9,1,0
CLI00117,58,14,5937610,6,11685762,52,260,0,App Móvil,Masivo,Andina,0,1,5,2,0
CLI00118,35,8,4739536,1,43151508,9,349,2,Presencial,Preferente,Caribe,0,0,2,0,0
CLI00119,24,12,3826133,1,34714584,31,255,5,Telefónico,Masivo,Amazonía,1,1,10,2,0
CLI00120,22,14,11628069,4,16151379,15,207,2,Digital,Preferente,Pacífica,1,1,8,0,0
CLI00121,26,9,9448140,4,12129712,4,28,7,Digital,Pyme,Andina,1,1,9,2,0
CLI00122,47,15,7220626,1,42926707,40,170,4,Presencial,Premium,Andina,1,1,7,3,1
CLI00123,35,6,7721714,3,45166293,9,336,1,App Móvil,Pyme,Andina,1,1,8,3,1
CLI00124,60,16,7874825,5,6305236,45,76,3,Presencial,Pyme,Andina,1,1,4,2,0
CLI00125,48,6,6505858,5,2365885,9,116,8,App Móvil,Masivo,Caribe,1,1,2,0,0
CLI00126,30,13,8528722,6,6195196,26,69,3,Presencial,Preferente,Caribe,1,1,3,1,0
CLI00127,36,14,9721252,1,880096,4,354,9,Presencial,Masivo,Orinoquía,0,1,11,2,1
CLI00128,36,6,10475708,1,32420723,17,234,9,Digital,Premium,Caribe,1,0,4,4,0
CLI00129,47,8,4915871,1,28756261,16,1,7,App Móvil,Masivo,Andina,1,1,8,1,0
CLI00130,63,18,3377971,3,44144380,15,167,4,Digital,Pyme,Orinoquía,1,1,8,4,1
CLI00131,34,15,9497488,4,36269198,35,352,9,App Móvil,Preferente,Pacífica,1,1,2,2,0
CLI00132,53,7,8314612,1,13172985,57,218,0,App Móvil,Premium,Andina,1,1,6,0,1
CLI00133,60,17,6463401,1,10015667,52,273,6,App Móvil,Masivo,Pacífica,1,1,5,4,0
CLI00134,53,17,4366757,2,31087640,5,251,2,Presencial,Masivo,Caribe,0,0,3,2,0
CLI00135,25,19,11225529,3,35027732,55,347,9,Telefónico,Premium,Pacífica,1,1,4,1,0
CLI00136,51,6,7413318,6,23536599,5,344,7,Telefónico,Masivo,Andina,1,1,9,0,0
CLI00137,58,2,8241286,1,30958456,20,174,2,Digital,Premium,Pacífica,1,1,1,4,1
CLI00138,44,17,3077969,2,48883781,15,170,0,Telefónico,Masivo,Amazonía,0,0,10,2,1
CLI00139,60,9,5151387,5,892015,18,246,4,Digital,Preferente,Orinoquía,0,0,6,0,0
CLI00140,36,6,11993291,6,10356675,47,90,1,Presencial,Masivo,Orinoquía,0,0,3,0,0
CLI00141,64,16,3211672,1,14139482,2,49,3,Digital,Preferente,Andina,1,1,1,3,0
CLI00142,50,13,7405950,1,41574929,29,294,0,Digital,Preferente,Andina,0,1,10,0,1
CLI00143,57,2,4712883,2,36425691,13,150,8,Presencial,Masivo,Andina,1,1,5,2,0
CLI00144,34,11,4528631,3,17631957,4,132,5,Presencial,Masivo,Pacífica,0,1,10,1,0
CLI00145,53,12,8732212,1,32289639,42,59,7,Telefónico,Masivo,Orinoquía,0,1,11,3,1
CLI00146,28,1,7923959,5,3352214,45,324,3,Digital,Preferente,Caribe,0,1,1,2,0
CLI00147,43,2,11667147,1,33335234,10,199,8,Presencial,Preferente,Orinoquía,0,1,9,2,1
CLI00148,49,4,8484297,5,19787303,31,215,1,Digital,Preferente,Pacífica,1,1,1,2,0
CLI00149,23,10,5524733,6,38198513,41,49,8,Presencial,Preferente,Amazonía,1,1,6,4,0
CLI00150,63,7,6359221,6,22158515,8,232,4,Telefónico,Masivo,Orinoquía,1,1,0,4,0
CLI00151,27,11,11302630,4,46433264,3,247,5,Presencial,Masivo,Caribe,0,1,6,1,0
CLI00152,49,6,5301250,4,19795655,48,239,2,Telefónico,Masivo,Caribe,0,1,9,2,1
CLI00153,49,14,10840854,5,16912586,46,168,3,Digital,Masivo,Caribe,1,1,4,4,1
CLI00154,41,16,1519675,3,17633852,9,48,5,Telefónico,Pyme,Caribe,1,1,0,4,0
CLI00155,51,3,9962605,1,45975556,30,51,6,Presencial,Premium,Andina,0,0,5,4,0
CLI00156,32,12,10856169,1,21419897,53,299,0,Presencial,Masivo,Pacífica,1,0,6,1,1
CLI00157,49,17,11887279,4,46629174,11,98,6,Telefónico,Preferente,Orinoquía,1,1,0,1,0
CLI00158,46,0,1986799,5,9304612,35,216,0,Digital,Premium,Andina,0,0,8,2,1
CLI00159,60,15,8310805,1,40089655,37,177,4,Telefónico,Masivo,Caribe,1,1,6,3,1
CLI00160,54,12,3738057,1,29864805,42,80,5,Telefónico,Masivo,Caribe,0,1,0,2,0
CLI00161,22,9,5964344,3,49696604,13,185,1,Digital,Masivo,Caribe,1,1,2,4,1
CLI00162,48,11,2066088,2,32320708,36,27,9,Digital,Preferente,Andina,0,1,4,4,0
CLI00163,34,1,8058947,4,20333128,56,195,8,Digital,Pyme,Andina,1,1,3,0,0
CLI00164,62,2,11651607,4,21788218,13,214,9,App Móvil,Preferente,Caribe,0,0,1,2,0
CLI00165,24,9,2158003,2,4713199,12,342,5,Telefónico,Masivo,Andina,1,0,0,4,0
CLI00166,60,1,2305113,1,9664001,37,114,6,Digital,Masivo,Caribe,0,1,3,4,1
CLI00167,27,12,10822004,3,19291584,10,242,9,Presencial,Premium,Andina,1,1,6,3,1
CLI00168,29,12,6528035,3,5125819,56,124,7,Presencial,Premium,Andina,1,1,10,0,0
CLI00169,48,17,5534464,4,32508722,9,305,9,App Móvil,Preferente,Andina,1,0,3,2,0
CLI00170,30,2,11492154,3,10598429,52,76,0,Digital,Preferente,Andina,1,1,8,1,1
CLI00171,58,6,3592101,6,17569546,7,311,7,Digital,Masivo,Amazonía,1,1,7,2,0
CLI00172,54,13,7495134,2,4474843,2,312,3,App Móvil,Premium,Caribe,0,0,7,2,1
CLI00173,63,19,11847918,1,18520171,54,196,9,Digital,Premium,Andina,0,0,4,3,0
CLI00174,45,16,11344689,6,40866635,56,351,7,Digital,Masivo,Pacífica,1,1,11,2,0
CLI00175,36,11,10003967,2,2786905,23,44,5,App Móvil,Preferente,Andina,0,1,0,3,0
CLI00176,53,15,7708714,5,35400396,39,186,8,Telefónico,Masivo,Orinoquía,1,1,8,3,0
CLI00177,53,11,8262126,4,23511930,40,343,3,Digital,Masivo,Andina,0,1,1,4,1
CLI00178,45,14,7842057,3,3503548,39,246,1,Digital,Masivo,Andina,1,1,5,1,0
CLI00179,62,9,5041483,5,26801589,21,84,1,Digital,Masivo,Caribe,1,1,9,3,1
CLI00180,33,6,11572959,3,7185115,23,207,4,Digital,Masivo,Andina,1,1,4,0,0
CLI00181,60,19,3012760,6,41535944,29,151,9,App Móvil,Masivo,Caribe,1,1,9,0,0
CLI00182,23,4,11351044,1,2269798,14,156,8,Presencial,Preferente,Caribe,0,0,7,1,0
CLI00183,24,0,5057689,1,4181726,26,16,2,Telefónico,Preferente,Andina,1,1,10,3,1
CLI00184,58,16,3363236,1,3439289,51,165,7,App Móvil,Masivo,Andina,0,1,2,1,0
CLI00185,38,2,9363426,3,40196052,5,145,3,Presencial,Masivo,Caribe,1,1,5,4,0
CLI00186,23,12,11488400,5,24463031,55,37,5,Digital,Preferente,Pacífica,1,1,5,0,0
CLI00187,23,13,1950930,1,16186862,31,333,9,Presencial,Masivo,Andina,1,1,9,2,1
CLI00188,49,17,8902324,5,15823521,25,45,5,App Móvil,Masivo,Caribe,0,1,2,0,0
CLI00189,44,3,9446232,3,14922998,31,206,2,App Móvil,Premium,Andina,0,1,11,3,0
CLI00190,58,17,4998408,6,27171358,50,62,4,Digital,Preferente,Pacífica,0,1,11,1,0
CLI00191,53,4,6903252,5,25298483,20,356,2,Telefónico,Premium,Andina,0,1,11,0,0
CLI00192,54,15,1591006,6,49929048,44,308,0,Presencial,Preferente,Andina,0,1,6,2,0
CLI00193,22,0,5651785,3,19375691,55,19,6,App Móvil,Masivo,Andina,1,1,10,2,0
CLI00194,40,13,2188725,3,34194304,17,300,3,Digital,Preferente,Andina,0,1,3,1,1
CLI00195,23,14,10677376,4,20633014,45,7,6,Presencial,Masivo,Orinoquía,1,0,4,1,0
CLI00196,47,8,1706487,3,33378855,2,249,2,App Móvil,Masivo,Pacífica,1,1,8,0,1
CLI00197,53,14,7889308,3,21718628,25,117,4,Presencial,Masivo,Caribe,1,1,5,3,1
CLI00198,27,16,5137820,2,19736686,13,68,4,Presencial,Premium,Andina,0,1,9,4,1
CLI00199,53,3,4784321,1,12275520,58,34,1,Digital,Masivo,Orinoquía,0,0,3,2,0
CLI00200,25,11,8518523,4,5422569,39,194,9,Digital,Pyme,Caribe,1,0,7,1,0
CLI00201,32,4,2178841,4,30573993,28,325,1,Digital,Premium,Amazonía,0,1,8,4,0
CLI00202,38,4,6920712,4,47468948,42,55,3,App Móvil,Preferente,Orinoquía,1,1,9,4,1
CLI00203,59,10,4952501,2,46404942,55,266,3,Digital,Preferente,Caribe,0,1,4,4,1
CLI00204,45,5,9933840,6,35202256,6,42,3,Presencial,Preferente,Orinoquía,1,1,1,3,0
CLI00205,26,6,3945840,3,36938405,3,297,5,Telefónico,Premium,Andina,1,0,5,1,0
CLI00206,55,13,6951973,1,22588002,58,231,1,Digital,Masivo,Pacífica,1,0,10,2,1
CLI00207,27,10,2879904,5,30361580,35,10,5,Presencial,Premium,Andina,0,1,11,1,0
CLI00208,43,12,8853172,6,13678599,18,358,6,Telefónico,Preferente,Andina,0,0,7,0,0
CLI00209,32,1,2937188,3,8821437,11,128,9,App Móvil,Pyme,Andina,1,1,4,2,0
CLI00210,37,6,3156321,2,37965486,54,179,2,Telefónico,Preferente,Pacífica,1,1,0,1,0
CLI00211,54,19,2038645,3,21092112,20,193,7,Telefónico,Preferente,Caribe,0,0,7,2,0
CLI00212,30,3,11460559,3,234000,5,92,1,Digital,Premium,Andina,0,1,8,0,0
CLI00213,27,7,6854552,2,44820469,19,231,7,App Móvil,Premium,Caribe,0,0,0,2,0
CLI00214,37,19,6025121,4,25487961,22,78,4,Digital,Preferente,Andina,1,0,7,4,1
CLI00215,50,18,7332801,4,28189328,59,85,1,Telefónico,Masivo,Andina,0,1,9,3,1
CLI00216,24,12,8411855,1,27771045,19,30,6,Digital,Preferente,Andina,1,1,11,0,0
CLI00217,41,13,8050091,1,28529068,47,213,1,App Móvil,Pyme,Andina,1,1,1,2,0
CLI00218,57,9,9290574,4,13693090,16,49,5,Telefónico,Premium,Caribe,1,1,3,0,0
CLI00219,40,10,4866823,6,10688877,24,265,9,Telefónico,Premium,Caribe,1,1,1,4,0
CLI00220,47,1,8870683,5,46374413,41,145,2,Digital,Masivo,Caribe,1,1,1,3,0
CLI00221,24,8,3667354,3,25732334,4,69,8,Presencial,Preferente,Andina,1,1,9,0,0
CLI00222,40,16,10985961,5,49524156,15,58,2,Telefónico,Preferente,Amazonía,0,1,2,4,0
CLI00223,41,2,7939522,3,47775541,25,185,2,Telefónico,Premium,Caribe,1,1,7,4,1
CLI00224,53,5,6547999,4,41279258,44,62,4,Digital,Masivo,Orinoquía,1,0,3,4,1
CLI00225,28,4,5885010,1,1097996,55,308,6,App Móvil,Premium,Pacífica,1,0,6,2,0
CLI00226,62,4,6318750,6,25765616,35,296,7,App Móvil,Preferente,Andina,1,1,11,1,0
CLI00227,54,14,6491536,1,43518366,55,166,6,Digital,Masivo,Andina,0,1,9,0,0
CLI00228,61,16,10712863,5,27534580,14,171,8,App Móvil,Masivo,Pacífica,1,1,2,1,0
CLI00229,60,8,4971750,1,4817911,49,63,4,Presencial,Masivo,Caribe,0,1,9,4,1
CLI00230,39,2,5975156,4,45869730,19,147,9,Presencial,Preferente,Andina,1,1,11,1,1
CLI00231,61,19,4265331,6,4858939,38,306,2,Digital,Masivo,Pacífica,0,1,10,4,1
CLI00232,22,16,9570297,5,39809029,36,161,5,Presencial,Masivo,Andina,1,1,2,4,0
CLI00233,32,9,10476766,6,31456964,7,141,4,Telefónico,Premium,Pacífica,0,1,1,3,0
CLI00234,49,2,4130723,3,1383640,30,334,3,Presencial,Masivo,Caribe,1,1,11,3,1
CLI00235,46,17,2365139,1,34068385,19,97,1,Telefónico,Masivo,Pacífica,1,1,5,1,0
CLI00236,44,17,11467246,6,6051865,49,221,6,Telefónico,Preferente,Andina,0,0,5,0,0
CLI00237,52,16,9043159,2,29404164,25,43,4,Telefónico,Preferente,Andina,1,1,0,1,0
CLI00238,51,2,6884935,1,6434323,16,292,3,Digital,Premium,Andina,1,1,6,0,0
CLI00239,63,2,4401717,3,21340869,47,108,7,App Móvil,Masivo,Andina,1,1,11,1,0
CLI00240,56,5,7785939,6,685503,54,266,8,Presencial,Premium,Orinoquía,0,0,3,2,0
CLI00241,28,12,8316525,5,42365681,40,95,8,Digital,Preferente,Andina,1,1,10,2,0
CLI00242,37,14,3711738,3,10311825,51,262,2,Digital,Masivo,Pacífica,1,1,11,0,1
CLI00243,47,8,7192796,2,17114499,8,313,2,Presencial,Masivo,Andina,1,0,2,3,1
CLI00244,23,3,10178376,6,26744056,18,71,4,App Móvil,Masivo,Caribe,1,1,7,0,0
CLI00245,22,13,8322567,4,49943053,28,219,4,Presencial,Masivo,Caribe,1,1,1,1,0
CLI00246,33,4,4139929,1,4777421,16,21,9,Telefónico,Preferente,Caribe,0,1,8,4,0
CLI00247,26,1,4633211,5,25557004,52,92,1,Digital,Preferente,Andina,0,0,7,2,1
CLI00248,58,10,8940449,4,22473606,19,127,0,Presencial,Masivo,Andina,0,1,7,4,1
CLI00249,53,8,3226199,6,49035647,42,80,7,App Móvil,Masivo,Pacífica,0,1,2,2,0
CLI00250,30,2,6571915,6,20476459,17,312,2,Telefónico,Masivo,Pacífica,1,1,3,1,0
CLI00251,62,8,1943945,3,29993846,45,238,0,Digital,Preferente,Caribe,1,1,1,2,0
CLI00252,56,2,8882003,6,14692370,13,182,0,Presencial,Masivo,Caribe,0,1,1,0,0
CLI00253,40,1,7810114,5,34132542,7,25,1,Digital,Preferente,Caribe,1,0,3,4,0
CLI00254,37,11,1521253,4,4218346,27,156,5,Presencial,Masivo,Andina,1,0,5,4,1
CLI00255,24,9,5103110,5,23741419,10,5,5,Telefónico,Preferente,Caribe,1,1,4,1,0
CLI00256,41,8,3776787,2,25061794,34,120,2,Telefónico,Premium,Caribe,1,0,0,4,0
CLI00257,45,14,9190840,2,32688546,36,277,3,Digital,Masivo,Orinoquía,1,1,9,1,1
CLI00258,54,7,8001553,1,46884754,25,18,1,App Móvil,Preferente,Pacífica,0,1,0,3,0
CLI00259,45,4,10838770,1,16270947,6,198,1,Presencial,Pyme,Caribe,0,1,5,0,1
CLI00260,32,10,2774634,2,40707746,24,57,6,Presencial,Masivo,Andina,0,0,2,2,0
CLI00261,29,1,4255063,6,11524217,18,93,0,Presencial,Preferente,Andina,1,1,2,2,0
CLI00262,57,14,2728807,5,23703983,23,19,6,Telefónico,Masivo,Pacífica,0,1,6,2,0
CLI00263,59,5,10011383,2,9324391,6,353,0,Presencial,Preferente,Andina,1,0,0,3,1
CLI00264,61,7,6663515,1,30717847,29,193,5,Presencial,Masivo,Caribe,0,0,0,0,0
CLI00265,41,4,9101748,2,10548540,25,237,2,Presencial,Pyme,Pacífica,1,1,9,4,1
CLI00266,56,15,5963158,6,2906492,55,277,7,Digital,Preferente,Andina,0,0,2,4,0
CLI00267,46,17,10303208,2,37088582,17,227,5,App Móvil,Premium,Caribe,0,1,7,0,0
CLI00268,56,5,7681422,5,22919530,46,233,1,Presencial,Preferente,Andina,0,0,0,0,0
CLI00269,46,4,3769070,4,39240753,24,40,7,Digital,Preferente,Andina,1,1,9,2,1
